twitter_id,user_id,time,unknown_1,unknown_2,source,unknown_3,unknown_4,unknown_5,text,name,screen_name,permalink
471125771700817920,1317726559,2014-05-26 23:08:31 -0400,"","","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",0,"",Gadigal/Eora country | भारत,"RT @ErinZwiener: #YesAllWomen #YesAllWhiteWomen Fellow WW, don't act like ""not all men"" when WoC talk about their experiences. We can do be…",Sir Cumambulation,brhaspati108,http://www.twitter.com/brhaspati108/status/471125771700817920
471126115353133056,18841425,2014-05-26 23:09:53 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Elsewhere,Because it took 3 weeks to get news coverage for 270 (still missing &amp; tortured) Nigerian schoolgirls.  #YesAllWomen #YesAllwhitewomen,i.Mogul,IngaNandiwillis,http://www.twitter.com/IngaNandiwillis/status/471126115353133056
471126585441935361,1682121170,2014-05-26 23:11:45 -0400,"","",web,0,"","Redmond, WA","RT @missladyniobe: Real talk, I'm happy the #YesAllWomen tag exists, but I'm relieved that #YesALLWhiteWomen has emerged too.",Heather Ure,heatherurehere,http://www.twitter.com/heatherurehere/status/471126585441935361
471128862764445696,47236837,2014-05-26 23:20:48 -0400,"","","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",0,"","",MT @EntirelyAmelia: Reading assignments If you’re a man: #YesAllWomen If you’re white: #YesAllWhiteWomen If you’re not transgender: #CisGaze,alumiere,alumiere,http://www.twitter.com/alumiere/status/471128862764445696
471130922356834304,16390652,2014-05-26 23:28:59 -0400,"","","<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",0,"","Lakewood, CO",RT @tapati: If you aren't safe and need to locate a shelter: http://t.co/zeNVfZM0f2 #YesAllWomen #YesAllWhiteWomen,Kelly Smith,MJKellySmith,http://www.twitter.com/MJKellySmith/status/471130922356834304
471131954071736320,25711695,2014-05-26 23:33:05 -0400,"","",web,0,"",Boston,RT @alumiere: MT @EntirelyAmelia: Reading assignments If you’re a man: #YesAllWomen If you’re white: #YesAllWhiteWomen If you’re not transg…,Gillian Daniels,gilldaniels,http://www.twitter.com/gilldaniels/status/471131954071736320
471133623328837632,65214500,2014-05-26 23:39:43 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",SKN/VI--✈MIA--✈The World,"RT @jestom_: I don't identify as a ""woman."" I DO identify as a Woman of Color. #YesAllWhiteWomen",Ms. World Rover,Sherphisticated,http://www.twitter.com/Sherphisticated/status/471133623328837632
471134340710031362,18130318,2014-05-26 23:42:34 -0400,"","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,"",where you last looked,RT @ChiefElk: An Open Letter to Eve Ensler http://t.co/zMNkwbMHLO #YesAllWomen #YesALLWhiteWomen,"Patrick, a proxy.",SpringaldJack,http://www.twitter.com/SpringaldJack/status/471134340710031362
471135162588086272,385730990,2014-05-26 23:45:50 -0400,"","",web,0,"","Ann Arbor, MI","RT @middle_ladle: Hey, white women following #YesAllWomen? There's a lot of learning to be done on the #YesALLWhiteWomen tag. QUIET learnin…",Francesca Lupia,FrancescaLupia,http://www.twitter.com/FrancescaLupia/status/471135162588086272
471137666671865856,172008006,2014-05-26 23:55:47 -0400,"","",web,0,"",NYC,And almost on cue - #YesAllWomen has morphed into #YesALLWhiteWomen - they just couldn't let this round of the oppression Olympics slide,Kid Strangelove,kidstrangelove,http://www.twitter.com/kidstrangelove/status/471137666671865856
471138283200585728,30724469,2014-05-26 23:58:14 -0400,"","","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",0,"",The Net,RT @FayetteBlu: #YesALLWhiteWomen need to consider race and class as a factor in the discussion for safety and freedom for #YesAllWomen,Ravan Asteris,Ravan_A,http://www.twitter.com/Ravan_A/status/471138283200585728
471139822711889921,2179089168,2014-05-27 00:04:21 -0400,"","",web,0,"","",RT @JamesMArcher: Baby Dies in Jail After Mother Was Forced to Give Birth in #Solitary With No Help. #YesAllWhiteWomen #YesAllWomen   http:…,Terry Kalb,teka21bat,http://www.twitter.com/teka21bat/status/471139822711889921
471140652839735297,184687684,2014-05-27 00:07:39 -0400,"","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,"","Seattle, WA",RT @carakalikimaka: #YesAllWomen may have some of the same struggles but #YesALLWhiteWomen must acknowledge the unique struggles of WOC to …,Desiree Spitzer,CatApocalypse,http://www.twitter.com/CatApocalypse/status/471140652839735297
471141714061557760,93522746,2014-05-27 00:11:52 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Canada,I like #YesAllWhiteWomen drawing attention to the fact that all women's experiences are different based on factors other than sex like race.,Tori,ToriRambles,http://www.twitter.com/ToriRambles/status/471141714061557760
471142997824782336,2206158068,2014-05-27 00:16:58 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",So Cal,RT @windi_sparrow: #YesAllWomen is men's turn to listen to women; #YesALLWhiteWomen is My turn to listen to WoC.,Danielle Reid,lilrainbowninja,http://www.twitter.com/lilrainbowninja/status/471142997824782336
471143198778490880,2526421698,2014-05-27 00:17:46 -0400,"","",web,0,"",#YesAllWhiteWomen,"RT @mamasnark: Fellow white women, please read the #YesALLWhiteWomen tag and learn how to be a better intersectional feminist.",Dolce Jesús,TweetThruItMyGe,http://www.twitter.com/TweetThruItMyGe/status/471143198778490880
471144549491175424,59394453,2014-05-27 00:23:08 -0400,"","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,"",San Francisco,RT @AngelaRaeBrooks: #YesAllWomen feels like #yesallwhitewomen. #myopinion #badfeminist,Pierro,n13gaucho,http://www.twitter.com/n13gaucho/status/471144549491175424
