470522173392957440	43629631	Sun May 25 11:10:02 +0000 2014			web	0		NYC	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Laura Anne Gilman	LAGilman
470544831194742784	48331778	Sun May 25 12:40:04 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Sudbury, Ontario, Canada	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Andy W Taylor	SooGuy68
470546542609170432	1396110848	Sun May 25 12:46:52 +0000 2014			<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>	0		Kansas City, MO	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Thom Persley	thompersley
470548027380600832	2262179187	Sun May 25 12:52:46 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Jenny Grove	hateislove98
470550132606652416	318541497	Sun May 25 13:01:08 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Florida 	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Katie Shapiro	KatieShapiro1
470551244436566017	2173241	Sun May 25 13:05:33 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Austin, Texas	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Manuel Gonzales	hrniles
470553094091456512	375294652	Sun May 25 13:12:54 +0000 2014			web	0		Internet/Austria	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Bob V. F. Montoya	BobVFMontoya
470553232435974144	17977757	Sun May 25 13:13:27 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		s a n   d i e g o	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	ｉｉｉｉ	barfchan
470553375113609216	500531960	Sun May 25 13:14:01 +0000 2014			<a href="http://www.twitter.com" rel="nofollow">Twitter for BlackBerry</a>	0		Middle East & Asia mostly	"@lizgartley: #YesAllWomen http://t.co/4h6qJbn89x" Also: Iraqi body count 110,000+ (conservative). Afghan military &amp; police tally 13,000+	Ɖ㉫ⓣ ⓞⓕ к̣̣̥₳ᴿ₳τ̍̍̍e	Shiratori888
470554549451649028	371325872	Sun May 25 13:18:41 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Tori Seabrooke	ToriSeabrooke
470555535213727746	2423851217	Sun May 25 13:22:36 +0000 2014			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	周学迅	zhou1zhou1
470555971082002433	55318479	Sun May 25 13:24:20 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		WI, USA	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Lori M. Lee	LoriMLee
470556671782432768	20099673	Sun May 25 13:27:07 +0000 2014			<a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>	0		Birmingham, UK	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Jon Knight	syntheticbrain
470557376429707265	284637282	Sun May 25 13:29:55 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Emma Parker	paarkerpenn
470558110235787264	16570580	Sun May 25 13:32:50 +0000 2014			web	0		American in P̶a̶r̶i̶s̶ London	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Mrs W	bracing
470558353664770048	25819283	Sun May 25 13:33:48 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @EileenBresnahan: RT @lizgartley  #YesAllWomen http://t.co/B7BcSF5C4n	Pretty Jones	laurisfloris
470559503013117953	1494026042	Sun May 25 13:38:22 +0000 2014			web	0		Hampshire	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Lane Swift	LaneSwift
470560534534705152	2463482995	Sun May 25 13:42:28 +0000 2014			web	0		The Hood	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Thug Na$ty	PimpDaddyMcSwag
470561952335691777	17289723	Sun May 25 13:48:06 +0000 2014			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	0		Lyon, France	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Steve Lee	essell2
470562308956372994	472399690	Sun May 25 13:49:31 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		ATL	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Catherine Addison	caaddison24
470562485171265538	36283180	Sun May 25 13:50:13 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		SEA	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Kat Reinhart	katreinhart
470563319565516800	634769637	Sun May 25 13:53:32 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Tif's Fic	writetherestfic
470563667881103362	153764387	Sun May 25 13:54:55 +0000 2014			web	0		Boston, MA	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Kim Dawson	kdawson424
470565093961252864	427749490	Sun May 25 14:00:35 +0000 2014	470520341039939585	1472441198	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0	[46.38450575,-120.31450937]		“@lizgartley: #YesAllWomen http://t.co/JWIbtPIibk” this is freaking insane!!!	Mareike	MyGiftToYou1982
470569577756508160	307231761	Sun May 25 14:18:24 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Anjelina.	_yosoyangie
470572031101399040	15924131	Sun May 25 14:28:09 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Birmingham, Ala.	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Shane Ivey	shaneivey
470572530156441600	136600755	Sun May 25 14:30:08 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		west michigan born & raised	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	deanna	dnnmry
470572777993289729	299418023	Sun May 25 14:31:07 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		NYC	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	They Call Me 4-Eyes	GoldingGirl617
470573637591117824	443814061	Sun May 25 14:34:32 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Danny Doyle	doyle_danny
470574136717107201	56562770	Sun May 25 14:36:31 +0000 2014			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	0		Plainfield, IL	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Keith Renderman	gyrosplater
470575319603494912	371045405	Sun May 25 14:41:13 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Taylor	paradeoursouls
470575940524081154	311738651	Sun May 25 14:43:41 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	♛ Queen Claire ♛	Claireekm
470577253340815361	266647719	Sun May 25 14:48:54 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		New Zealand West Coast	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Fred Dagg	fredagg
470577433511723008	357238352	Sun May 25 14:49:37 +0000 2014			<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>	0		Indianapolis, IN	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Angela Roesler	AngelaRoesler
470577454294528000	1357132502	Sun May 25 14:49:42 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		NYC	RT @birdiebent: What war on women? “@lizgartley: #YesAllWomen http://t.co/tOZiAXkD6a”	5r@nc43ly	__Go_Away
470577999654297602	29600755	Sun May 25 14:51:52 +0000 2014			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	0		San Francisco, CA	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Alice Rathjen	dnatimes
470578058614034433	313517102	Sun May 25 14:52:06 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Bedford/Milton Keynes	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Claire Griffiths	littleshoehorn
470580084173467648	1038549397	Sun May 25 15:00:09 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Pan's Labrynth, Missouri	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	CheeriosTheCat  	divadaisy2015
470580302289850368	1337626129	Sun May 25 15:01:01 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		New York	RT @birdiebent: What war on women? “@lizgartley: #YesAllWomen http://t.co/tOZiAXkD6a”	Jaylynn	jaytanjevii
470580507952947200	61989530	Sun May 25 15:01:50 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		shatterdome	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	fast lame	SAMWlLSON
470580726069350401	22282628	Sun May 25 15:02:42 +0000 2014			web	0		New York, NY	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Lex Curry	ohlexcurry
470582508783149056	341907159	Sun May 25 15:09:47 +0000 2014			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Katie	Sadiekapleton
470582609136070657	785091114	Sun May 25 15:10:11 +0000 2014			web	0		canada	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	mela from Paramore	captainsyork
470583414622806016	310530476	Sun May 25 15:13:23 +0000 2014			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	0		it's a mystery	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Feisty	Fffeisty
470583682957602816	43111596	Sun May 25 15:14:27 +0000 2014			web	0			RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Kasey- PhDs&Pigtails	PhDsandPigtails
470583691396513792	289338380	Sun May 25 15:14:29 +0000 2014			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	0		Pseudonymless City, USA	RT @lizgartley: #YesAllWomen http://t.co/RplfMxM86b	Psyc Girl	PsycGrrrl
